pair_uid,task_id,image_a,image_b,sha256_a,sha256_b
008e997dd1bb6c02e5e75dd78030d5cb939211c20f4e8f4002bbf29da6bc77df,sthereo_day_night_vis_vis,images/sthereo_07_valley_morning/visible_left/1630115768975647953.png,images/sthereo_09_valley_evening/visible_left/1630073760533933309.png,2ca1558728b35d167f891775c004471ac52e432ac331e0f05e68144bf8ca03d6,19ca78c8cf8806ac529a05a941baf05b107d02018de51ce2cc29fc2386ded8b8
0157ed87bbc5331a6a875e633a1a9ed3b3700d0b40934af8b7f1e9e0d27e31b5,sthereo_day_night_vis_vis,images/sthereo_07_valley_morning/visible_left/1630115869042032643.png,images/sthereo_09_valley_evening/visible_left/1630073839908374104.png,ec93791368295b0b12964185259b5fdc9be9f584e5aa1af6d8a7c32c747dfdeb,5d43e1f93b684dd5787c4ccf88eb181363615f9eb04727965ce3babafbcbd175
01696e035c7e7f780f1908a14647f76a8bfe555323cce04bd40e27dbc6a08353,sthereo_day_night_thermal_thermal,images/sthereo_07_valley_morning/thermal_left/1630115726976538720.png,images/sthereo_09_valley_evening/thermal_left/1630073884491052601.png,e0a310dfb29795ba4ad91f58a7b94797e0c6ea60909f4d65d5c0868d4414fb1a,6a790df079dbe1ac0fb38dba9d244c1080e8460fe688ae608a84551a401e5d70
0196b7cd84f78d4ab1f184e461b47737f4e29f15ac69e59fd78a5f3d175bad66,sthereo_day_night_thermal_thermal,images/sthereo_07_valley_morning/thermal_left/1630115887071760093.png,images/sthereo_09_valley_evening/thermal_left/1630073854391027449.png,50473963cc08300fd6a5b8590f3c109f7591652f77b2331fed4761f8adcaf2be,10c8073a2008e5e623062342ef4a631f93a88756228dbbbacd3445ad5d339dbd
02e0c54f5e056648e692f9dc959a76b110e7f435845fde290f6088057cf48737,sthereo_day_night_thermal_thermal,images/sthereo_07_valley_morning/thermal_left/1630116028971764869.png,images/sthereo_09_valley_evening/thermal_left/1630073974871424473.png,ba23935134cd8216cdd2583272d3fb9f5a0362422b9fc14cb1832546fdb990df,792fb0934587e8e7eea722b76c515afb35bcc17d3e19e88427f2ba2cab74eab5
03d621671dd9ca6aabca7958ca4c28bd1c729f5476c21ac40a37d5b5d756627b,sthereo_day_night_thermal_thermal,images/sthereo_07_valley_morning/thermal_left/1630115768976542324.png,images/sthereo_09_valley_evening/thermal_left/1630073760491005234.png,8012426d92b25b0bf8a436e4e57ab6ad2169612d0f5127967107de3d237a1862,b8de46b6b7c18857644a97f836ec9432555f162a6f1bcf74a34e20e16e5a50db
0440ef08b296a6b60b9680e2af3f5ba90389c789b40d51caa9639f8d7b7b23ed,sthereo_day_vis_thermal,images/sthereo_07_valley_morning/visible_left/1630116003000049963.png,images/sthereo_07_valley_morning/thermal_left/1630116004971770884.png,dd47f8d51bf8be191670874c707fc9105ce59b874afcc727bf5f026d83f14328,978b32d0fc440565bc2e12326c92952e6a1150a7c183e2c50ebd4b92c3a7d91e
044dc4a157469bf0192a48b35b3e9a7f1ed330044a39af78392aec621fbe07be,sthereo_day_night_thermal_thermal,images/sthereo_07_valley_morning/thermal_left/1630115632976541736.png,images/sthereo_09_valley_evening/thermal_left/1630073648119166861.png,8683394581cf6970bd0b222550cadf50dca6a549e6e8ed3df2776b082ad7baa2,a363be3ba8916e5f1722f461a64646f7a41c1138f01ab6df4944b73140dfbab2
0489493aff1c3d966f9e6e5f4fd32f1045da4fc443ae79a63bfb6dbd9bad2c40,sthereo_day_night_thermal_thermal,images/sthereo_07_valley_morning/thermal_left/1630115996971759624.png,images/sthereo_09_valley_evening/thermal_left/1630073777991028483.png,4613605dfc76b7f2187da6a1fd2974fcf68657f8e0e2b2f0b6431cb2f825cca3,acfd8b67319751222b25c242c35f8e9e49cc2ecac53eac64959867444754a1e6
051ec164ba856688b4cd447798e2f430c90fa269a36c748bedb76d4168f82e04,sthereo_day_vis_thermal,images/sthereo_07_valley_morning/visible_left/1630115847048864359.png,images/sthereo_07_valley_morning/thermal_left/1630115849071760858.png,0a92f9ff44dd7849d517c26a2afa715a60ff1a482028e0e6a4865b1318dc565a,4f45c81ab07869dee715d283edd391e4897bc8888e236a570b7c7080e4f84776
05506e393dcdc8212858e145bb3dcc442f48230ef94aee79040e0b46c7e951b7,sthereo_day_night_vis_vis,images/sthereo_07_valley_morning/visible_left/1630115893033333751.png,images/sthereo_09_valley_evening/visible_left/1630073692459645960.png,b959f47fae71c0e9b1b95ebd677c863c14f81358046e6e9e3d004844492faf70,7580f3a3095a2838476e6520c03907525d24661acad25e69e2b377c784510c8a
068e25b8353f9691ae73cf5defa2807316f4c914eecbd8cf21c2342a3fb1ce3a,sthereo_day_vis_thermal,images/sthereo_07_valley_morning/visible_left/1630115726986114511.png,images/sthereo_07_valley_morning/thermal_left/1630115728976537778.png,803a7ea1e2e955628f7050e1a50477a41e7bd47504041731335300848a774136,18ad72628bba6385172ca73ffa428631b16ab1253795513e5534a9b37ad6cc93
072d8adf26614b9ae380164dda838ac3e0c0342b98a08fbfa1b357f6c1d0f67e,sthereo_day_night_thermal_thermal,images/sthereo_07_valley_morning/thermal_left/1630116012971785299.png,images/sthereo_09_valley_evening/thermal_left/1630073960971427410.png,034b6ce8a9d13e24d90e9bd85a600331a171e07d1f9495845eea28e0f0fca0cf,96e5ee0cba9c4adb5a00a5178e1a9ba8efab628bfa6e3a53ace8729a05bcd5ab
07c25d43c07db386083e70fe25f62b6dcaffa44f90517095ecfd3d5beffc1d7f,sthereo_day_night_vis_vis,images/sthereo_07_valley_morning/visible_left/1630115726986114511.png,images/sthereo_09_valley_evening/visible_left/1630073884493988443.png,803a7ea1e2e955628f7050e1a50477a41e7bd47504041731335300848a774136,c8da50f892be845dbd5ef0071f6725609e18d89d8b51893a29babf1a04fd6cb2
0870a348d6e22a90acf0870ceb72cf18a1fd59e6a081a3f15c335e7f58d87adf,sthereo_day_vis_thermal,images/sthereo_07_valley_morning/visible_left/1630115989005987902.png,images/sthereo_07_valley_morning/thermal_left/1630115990971767374.png,273bf873ae2547ceb135ad6e50853304125509ef8906136f328ff6c268004489,f0d6ec07b76f7f11d0782425fe2dd32b0cbe05aa53d6c1ff8b15982b51ad44ac
08e2258023f76af522bbc8197ccf87201175660aecceac6a887bbecf6e053fa4,sthereo_day_vis_thermal,images/sthereo_07_valley_morning/visible_left/1630115740982450421.png,images/sthereo_07_valley_morning/thermal_left/1630115742976542888.png,62afa0327c06129d97d771fe2bbca182528f0fb5704b04a1418e99f2f3b355dc,e688d1487994622d73903143a454e5cb72fc1689c0d62afaecb7a521c3f507da
0a8e33687d3e0364b0eb1e9e9751ad7ce8f8e57d6042138e9074873af876dfc6,sthereo_day_night_vis_vis,images/sthereo_07_valley_morning/visible_left/1630115742981933216.png,images/sthereo_09_valley_evening/visible_left/1630073897589125530.png,f5bca701d2bb8bc470adb11d02bbbf43449fa89dddba51cdd5947d9bd4214480,8756e0c6056387d3c82ee0705dbafbeb4ea746bc13e4571df0f4a8e1ed38272f
0a9cb104a1b9f31897aaa5e95c3e25223f13d4927c84cfee279a3a121163b543,sthereo_day_night_thermal_thermal,images/sthereo_07_valley_morning/thermal_left/1630115897071761192.png,images/sthereo_09_valley_evening/thermal_left/1630073695691005573.png,d8a307dfb837ad77e0619c76291e8fa22d3cbc95a8edffa0065842a510c21266,78dd0afd483749e463c74a9586dde7dd89731e282dd157c1672a79228eff6085
0b41a879676b92bb3a9b3827a62a4232045c96b6694649340ea7e67ac991e978,sthereo_day_night_thermal_thermal,images/sthereo_07_valley_morning/thermal_left/1630115847071760923.png,images/sthereo_09_valley_evening/thermal_left/1630073823091027909.png,6c86575718a07948e95608038a0bd7f89e84cd2d24a1367c1b0680a719bb2514,2d11875eef9f8481903bba389e7d4fe95230792f28af5f4c8fac8d6a85fd8720
0b4d9d6c84e0d1c6b759dbd2ecde7e11da604a2ed67c37938494410f34d4aec2,sthereo_day_night_thermal_thermal,images/sthereo_07_valley_morning/thermal_left/1630115666976539681.png,images/sthereo_09_valley_evening/thermal_left/1630073678691048183.png,26847fd4bf95da715c3d152e2f491330e98929a1bbf903bad09057cb72a31990,9064cf56db86cb868721c00f68978eb23784ab96187dad0bb1df4354637d90fc
